"Label (Grouping)","District of Columbia, District of Columbia!!Estimate","District of Columbia, District of Columbia!!Margin of Error","District of Columbia, District of Columbia!!Percent","District of Columbia, District of Columbia!!Percent Margin of Error","Hawaii County, Hawaii!!Estimate","Hawaii County, Hawaii!!Margin of Error","Hawaii County, Hawaii!!Percent","Hawaii County, Hawaii!!Percent Margin of Error"
"        Subsaharan African","36,954","±8,529","5.3%","±1.2","257","±285","0.1%","±0.1"
"        Swedish","4,757","±1,294","0.7%","±0.2","2,464","±904","1.2%","±0.4"
"        Swiss","1,390","±558","0.2%","±0.1","838","±516","0.4%","±0.2"
"        Ukrainian","4,287","±1,262","0.6%","±0.2","382","±339","0.2%","±0.2"
"        Welsh","2,641","±1,087","0.4%","±0.2","1,279","±556","0.6%","±0.3"
"        West Indian (excluding Hispanic origin groups)","9,338","±2,441","1.3%","±0.3","790","±814","0.4%","±0.4"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","329,687","±4,510","329,687","(X)","76,569","±2,354","76,569","(X)"
"        With a computer","320,393","±4,794","97.2%","±0.6","73,331","±2,522","95.8%","±1.6"
"        With a broadband Internet subscription","304,860","±4,504","92.5%","±0.9","71,100","±2,713","92.9%","±1.9"
